,Unnamed: 0.1,Unnamed: 0,PC1,PC2,year,condition,odometer,mmr,sellingprice,income,using_time,make,model,body,transmission,state,color,interior,region,K
591,591,591,0.7510264340084151,-1.063517665469178,2011,3.9,32460.0,13950,16600,59100,4,nissan,Rogue,suv,automatic,fl,red,gray,southeast,4
592,592,592,1.966943127549902,-0.5419443377803401,2012,2.8,40745.0,33500,31500,61450,3,mercedes-benz,M-Class,suv,automatic,ga,—,off-white,southeast,1
593,593,593,0.7901192659200358,0.3201614690874381,2013,2.9,18475.0,14750,12400,73130,2,ford,Fusion,sedan,automatic,il,silver,black,midwest,3
594,594,594,1.4616435416364877,-1.1658087542074664,2013,4.5,9873.0,13450,13600,59100,2,nissan,Sentra,sedan,automatic,fl,gray,black,southeast,4
595,595,595,2.1225996139837813,-1.003916039433331,2013,4.6,10264.0,21500,20400,59100,2,honda,Accord,coupe,automatic,fl,blue,black,southeast,4
596,596,596,1.3633903750396994,-0.9289977776239756,2014,4.1,43497.0,14750,14600,61450,1,ford,Fusion,sedan,automatic,ga,black,black,southeast,1
597,597,597,-7.367918004529052,0.3328692444873142,1995,1.0,294467.0,275,400,68360,20,chevrolet,Blazer,suv,automatic,tx,red,beige,southwest,0
598,598,598,0.4448410459649363,-0.6624487651996761,2010,4.8,86562.0,16050,15500,61490,5,buick,Enclave,suv,automatic,nc,black,gray,southeast,1
599,599,599,0.0154152605057665,0.7840090190976207,2007,3.4,44680.0,22700,19300,73130,8,bmw,6 Series,convertible,manual,il,black,black,midwest,3
600,600,600,-1.2928621777567475,0.5666611225079756,2007,3.7,92343.0,8125,9600,73100,8,bmw,3 Series,sedan,automatic,pa,black,brown,northeast,2
601,601,601,-2.769758347818318,0.8744841890385673,2007,2.6,170439.0,3450,4000,77030,8,scion,tC,hatchback,automatic,ca,white,black,pacific,0
602,602,602,-2.337359052948014,-0.8726897072270213,2006,2.6,90698.0,3725,3200,61450,9,ford,Freestyle,wagon,automatic,ga,red,tan,southeast,1
603,603,603,1.5581149639659602,0.5407769346939256,2012,4.3,9332.0,18800,18200,73100,3,nissan,Rogue,suv,automatic,pa,black,black,northeast,2
604,604,604,1.7703741842524736,0.3646744693439268,2013,4.1,40586.0,21100,20500,71660,1,ford,Edge,suv,automatic,mo,burgundy,brown,midwest,3
605,605,605,0.8291298583189306,-1.2146367981525492,2013,4.6,54098.0,9575,10201,59100,2,chrysler,200,sedan,automatic,fl,red,black,southeast,4
606,606,606,0.5854096462342268,-1.0987173219645818,2011,2.6,38649.0,19200,17000,59100,3,lexus,ES 350,sedan,automatic,fl,gray,beige,southeast,4
607,607,607,0.3072249390253576,0.6210143127229893,2014,1.0,27050.0,16000,12400,77030,1,toyota,Camry,sedan,automatic,ca,green,black,pacific,6
608,608,608,-2.212530892568396,-0.2555137326199894,2005,3.5,108713.0,5175,6100,65610,10,gmc,Envoy,suv,automatic,mi,blue,tan,midwest,9
609,609,609,-3.1207266464821,0.8459443953239949,2006,2.6,173861.0,1300,1200,77030,8,ford,Focus,sedan,automatic,ca,gray,gray,pacific,0
610,610,610,-2.156968552759093,-2.364008411133208,2007,1.9,92743.0,6250,5300,48460,8,dodge,Nitro,suv,manual,ms,beige,tan,southeast,8
611,611,611,1.1399837385386156,0.8774812168927573,2013,2.7,27954.0,18100,21100,77030,2,hyundai,Santa Fe,suv,automatic,ca,black,beige,pacific,6
612,612,612,0.986725134570271,1.749927129820582,2011,4.2,52684.0,19100,19500,83200,4,ford,Edge,suv,automatic,mn,white,black,midwest,2
613,613,613,-1.974017546008847,0.9330100114933264,2007,3.4,125431.0,4750,6000,77030,8,ford,Explorer,suv,automatic,ca,brown,beige,pacific,0
614,614,614,0.7604691502117694,0.449080027318977,2012,4.0,46325.0,13550,14300,73130,3,nissan,Rogue,suv,automatic,il,gray,black,midwest,3
615,615,615,-2.561591533623321,0.867304202097095,2007,2.8,149678.0,3350,3300,77030,8,chevrolet,Silverado 1500 Classic,cab,automatic,ca,white,gray,pacific,0
616,616,616,-1.350326417733845,-0.5110288446949928,2008,2.8,82436.0,8125,8200,64520,7,chevrolet,Equinox,suv,automatic,oh,gray,gray,midwest,7
617,617,617,0.306358144240254,-1.666300027616041,2013,2.3,53895.0,13950,12900,55590,2,kia,Sorento,suv,automatic,la,gray,gray,southeast,3
618,618,618,1.3193332764432144,0.3103650481674442,2014,4.0,16486.0,12400,12100,73130,1,hyundai,Elantra,sedan,automatic,il,gray,gray,midwest,3
619,619,619,-4.923859664159502,1.1488889154818307,2000,3.0,236263.0,275,600,77030,14,infiniti,G20,sedan,automatic,ca,white,tan,pacific,0
620,620,620,1.6198136362769973,-1.129748105805828,2014,4.3,46106.0,17100,17000,59100,1,chrysler,Town and Country,van,automatic,fl,silver,black,southeast,4
621,621,621,-3.850071291436109,-1.1628766229652572,2004,1.0,129062.0,2350,550,59100,11,pontiac,Grand Prix,sedan,automatic,fl,white,gray,southeast,5
622,622,622,0.9390138770422486,-0.0257095906897502,2011,3.0,57310.0,24100,23750,67090,4,mercedes-benz,M-Class,suv,automatic,wi,white,gray,midwest,2
623,623,623,-1.80132532441475,-1.2961427480976433,2007,1.9,86899.0,10550,8700,57290,8,bmw,Z4,convertible,automatic,tn,gray,black,southeast,2
