,Dimension_1,Dimension_2,year,make,model,body,transmission,state,condition,odometer,color,interior,mmr,sellingprice,income,using_time,region
538,-1.045344112991922,-0.6072993450435621,2013,chevrolet,Sonic,hatchback,automatic,ca,3.6,52145.0,silver,black,7925,7500,77030,2,pacific
539,-0.0027082447624105005,-2.191504695853415,2007,nissan,Pathfinder,suv,automatic,co,3.4,108449.0,black,beige,7925,9800,80610,8,mountain west
540,-0.36230586533333264,2.0869902646104306,2014,chevrolet,Express Cargo,van,automatic,fl,3.7,37663.0,white,gray,20400,20600,59100,1,southeast
541,0.3744786276985066,1.760899645158834,2014,kia,Soul,wagon,automatic,tn,3.7,40774.0,black,black,13250,12800,57290,1,southeast
542,1.6391034067890902,-3.419867791282878,2003,cadillac,CTS,sedan,automatic,ca,2.6,141920.0,black,black,2525,3600,77030,12,pacific
543,-1.115104713790834,1.6212479442693961,2012,ford,Taurus,sedan,automatic,mi,4.6,33791.0,red,black,20800,21700,65610,3,midwest
544,0.3227640571939266,-3.342738591982972,2005,mercedes-benz,E-Class,sedan,automatic,nj,3.5,152267.0,green,black,3100,4900,82750,9,northeast
545,-2.454536131271513,1.0672131820363997,2012,bmw,5 Series,sedan,automatic,ca,4.3,35951.0,white,black,26400,27525,77030,3,pacific
546,-1.7172205534148177,-0.6335941318660708,2012,ford,Fusion,sedan,automatic,mn,3.7,35651.0,black,black,13050,13500,83200,3,midwest
547,2.658508180409479,-0.36650571593502457,2004,chevrolet,Silverado 1500,cab,automatic,oh,4.2,50296.0,green,gray,6675,7800,64520,11,midwest
548,2.4891777751412256,-3.938328984915734,2002,hyundai,Santa Fe,suv,automatic,va,2.1,184685.0,white,gray,875,900,74430,13,southeast
549,0.27645599915809443,2.787188120676943,2011,toyota,4Runner,suv,automatic,fl,3.6,77005.0,gray,black,29200,28800,59100,4,southeast
550,1.6292499137804155,-2.610596576240123,2005,jeep,Grand Cherokee,suv,automatic,pa,2.2,134594.0,white,gray,5800,5200,73100,10,northeast
551,-1.207239995090967,-0.07051637818837027,2013,chevrolet,Spark,hatchback,automatic,va,4.3,39355.0,blue,black,8475,8800,74430,2,southeast
552,0.9695684587729263,-4.9055316761208365,2001,chrysler,Town and Country,van,automatic,md,2.6,150663.0,silver,blue,1375,1800,89090,14,northeast
553,0.9628559202796427,1.9285619605340685,2013,ford,Fusion,sedan,automatic,tn,2.7,9701.0,white,tan,15250,11500,57290,1,southeast
554,2.4047035946004973,-1.3487330624978713,2006,cadillac,DTS,sedan,automatic,nc,1.9,98690.0,silver,black,5600,6500,61490,9,southeast
555,4.172132890681983,-3.045046743999154,1999,saturn,S-Series,sedan,automatic,fl,2.1,120027.0,gray,gray,775,500,59100,16,southeast
556,-0.010656849893743558,1.2027640819395196,2012,dodge,Avenger,sedan,automatic,ga,4.3,29385.0,white,red,11400,11900,61450,3,southeast
